Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,Month,Day,Hour,Time_Diff
2021-12-02 20:07:00,CUB - online payment,Food,,Ice cream,504.0,Expense,504.0,INR,12,Thursday,20,-25.35
2021-12-02 19:48:00,CUB - online payment,Food,,Vadapaav,75.0,Expense,75.0,INR,12,Thursday,19,-0.31666666666666665
2021-12-01 19:57:00,CUB - online payment,Beauty,,Showergel,196.0,Expense,196.0,INR,12,Wednesday,19,-23.85
2021-12-01 14:00:00,CUB - online payment,Food,,Lunch with company,160.0,Expense,160.0,INR,12,Wednesday,14,-5.95
2021-11-30 14:24:00,CUB - online payment,Gift,,Bharath birthday,115.0,Expense,115.0,INR,11,Tuesday,14,-23.6
2021-11-30 14:17:00,CUB - online payment,Food,,Lunch with company,128.0,Expense,128.0,INR,11,Tuesday,14,-0.11666666666666667
2021-11-30 10:11:00,CUB - online payment,Food,,Breakfast,70.0,Expense,70.0,INR,11,Tuesday,10,-4.1
2021-11-29 20:47:00,CUB - online payment,Food,,Lunch with company,40.0,Expense,40.0,INR,11,Monday,20,-13.4
2021-11-29 20:47:00,CUB - online payment,Food,,Dinner,50.0,Expense,50.0,INR,11,Monday,20,0.0
2021-11-29 20:09:00,CUB - online payment,Food,,Panipoori,40.0,Expense,40.0,INR,11,Monday,20,-0.6333333333333333
2021-11-29 09:29:00,CUB - online payment,Food,,Breakfast,40.0,Expense,40.0,INR,11,Monday,9,-10.666666666666666
2021-11-28 19:59:00,CUB - online payment,Food,,Snack,94.0,Expense,94.0,INR,11,Sunday,19,-13.5
2021-11-28 13:10:00,CUB - online payment,Food,,Zomato,269.4,Expense,269.4,INR,11,Sunday,13,-6.816666666666666
2021-11-27 23:14:00,CUB - online payment,Food,,Dinner with gowdham,120.0,Expense,120.0,INR,11,Saturday,23,-13.933333333333334
2021-11-27 22:34:00,CUB - online payment,Food,,Dinner with gowdham,130.0,Expense,130.0,INR,11,Saturday,22,-0.6666666666666666
2021-11-27 18:41:00,CUB - online payment,Transportation,,Rapido,35.0,Expense,35.0,INR,11,Saturday,18,-3.8833333333333333
2021-11-27 13:46:00,CUB - online payment,Food,,Lunch with company,75.0,Expense,75.0,INR,11,Saturday,13,-4.916666666666667
2021-11-27 13:46:00,CUB - online payment,Allowance,,From dad,2000.0,Income,2000.0,INR,11,Saturday,13,0.0
2021-11-27 09:33:00,CUB - online payment,Food,,Breakfast,30.0,Expense,30.0,INR,11,Saturday,9,-4.216666666666667
2021-11-26 21:56:00,CUB - online payment,Food,,Beer,150.0,Expense,150.0,INR,11,Friday,21,-11.616666666666667
2021-11-26 20:57:00,CUB - online payment,Food,,Snack,102.0,Expense,102.0,INR,11,Friday,20,-0.9833333333333333
2021-11-26 20:15:00,CUB - online payment,Food,,Panipoori,40.0,Expense,40.0,INR,11,Friday,20,-0.7
2021-11-26 14:14:00,CUB - online payment,Petty cash,,Cashback,3.0,Income,3.0,INR,11,Friday,14,-6.016666666666667
2021-11-26 14:14:00,CUB - online payment,Food,,Lunch with company,150.0,Expense,150.0,INR,11,Friday,14,0.0
2021-11-26 09:22:00,CUB - online payment,Food,,Breakfast,60.0,Expense,60.0,INR,11,Friday,9,-4.866666666666666
2021-11-25 20:27:00,CUB - online payment,Food,,Lunch with company,145.0,Expense,145.0,INR,11,Thursday,20,-12.916666666666666
2021-11-25 20:27:00,CUB - online payment,Transportation,,Rapido,58.0,Expense,58.0,INR,11,Thursday,20,0.0
2021-11-25 20:27:00,CUB - online payment,Food,,Dinner,95.0,Expense,95.0,INR,11,Thursday,20,0.0
2021-11-24 19:26:00,CUB - online payment,Food,,Snack,15.0,Expense,15.0,INR,11,Wednesday,19,-25.016666666666666
2021-11-24 19:23:00,CUB - online payment,Food,,Dinner,70.0,Expense,70.0,INR,11,Wednesday,19,-0.05
2021-11-24 19:06:00,CUB - online payment,Food,,Panipoori,20.0,Expense,20.0,INR,11,Wednesday,19,-0.2833333333333333
2021-11-24 19:06:00,CUB - online payment,Transportation,,Rapido,58.0,Expense,58.0,INR,11,Wednesday,19,0.0
2021-11-23 22:53:00,CUB - online payment,Transportation,,Rapido,50.0,Expense,50.0,INR,11,Tuesday,22,-20.216666666666665
